ID_Usuario,Canal,Fecha,TiempoSesion
C00953,Cajero Virtual,2025-05-14,290
C00760,Web,2024-09-30,2911
C00121,Cajero Virtual,2025-05-31,800
C00201,App,2025-03-16,2676
C00161,Cajero Virtual,2024-10-07,3271
C00762,Web,2025-03-20,235
C00218,App,2024-09-20,1254
C00575,Web,2024-11-25,3298
C00400,App,2024-09-18,1454
C00729,App,2024-11-21,196
C00385,Web,2024-12-16,1491
C00853,Cajero Virtual,2024-10-03,2489
C00064,Cajero Virtual,2024-10-29,790
C00212,App,2025-01-14,2205
C00632,App,2024-11-09,3068
C00069,App,2025-04-28,3554
C00124,App,2025-05-04,354
C00377,Web,2024-11-23,813
C00657,App,2024-10-02,1709
C00296,Web,2024-08-11,835
C00358,Cajero Virtual,2025-06-27,2581
C00641,Web,2025-06-04,1532
C00525,App,2024-09-19,405
C00786,Cajero Virtual,2024-12-02,2748
C00068,Cajero Virtual,2025-03-06,2845
C00879,App,2025-04-17,2337
C00270,Cajero Virtual,2025-03-29,1726
C00133,App,2025-01-30,90
C00062,Cajero Virtual,2025-02-23,1406
C00161,App,2024-11-02,967
C00026,Web,2025-04-28,1325
C00759,Web,2025-05-10,1466
C00701,App,2025-02-17,3574
C00964,App,2024-09-18,2633
C00286,App,2025-04-15,1618
C00446,Cajero Virtual,2024-07-05,1409
C00830,App,2025-02-03,3595
C00849,App,2025-03-31,1526
C00732,App,2025-01-01,3030
C00838,App,2024-08-11,1273
C00953,Web,2024-09-09,1696
C00249,App,2025-05-28,3163
C00091,Cajero Virtual,2025-01-18,753
C00036,Cajero Virtual,2024-12-02,716
C00007,App,2025-03-16,1950
C00506,App,2025-05-04,2876
C00321,App,2024-09-06,2442
C00202,Cajero Virtual,2024-09-26,3430
C00845,Cajero Virtual,2024-09-20,1173
C00553,Web,2024-12-26,475
C00544,Cajero Virtual,2025-03-14,2822
C00654,App,2024-12-09,1652
C00256,App,2025-05-30,2490
C00161,App,2024-12-31,2056
C00030,Web,2024-08-10,3301
C00457,Cajero Virtual,2024-10-30,2118
C00262,Web,2024-08-05,703
C00010,App,2024-07-12,2088
C00715,Web,2025-02-06,2902
C00359,Web,2025-06-14,3101
C00276,Web,2024-07-11,3593
C00857,App,2025-01-16,277
C00124,App,2025-03-08,1312
C00630,App,2025-03-20,183
C00268,Cajero Virtual,2024-12-04,939
C00278,Cajero Virtual,2025-01-05,2570
C00076,Web,2024-10-25,2737
C00526,Cajero Virtual,2025-01-29,1623
C00618,Cajero Virtual,2025-01-12,84
C00176,App,2024-08-18,3469
C00694,App,2025-05-30,86
C00036,App,2025-02-24,3369
C00957,App,2024-09-03,1743
C00567,Cajero Virtual,2025-05-08,1311
C00270,Web,2024-07-27,3181
C00002,App,2024-10-16,2592
C00256,Cajero Virtual,2024-08-16,941
C00514,Web,2025-05-21,1037
C00573,App,2025-01-07,1401
C00363,App,2025-02-19,3481
C00107,App,2025-04-29,725
C00134,App,2024-09-17,3012
C00409,App,2025-04-03,1654
C00451,Web,2025-05-25,618
C00535,Web,2025-03-30,2063
C00585,App,2024-11-22,725
C00351,Web,2024-11-20,188
C00028,Cajero Virtual,2024-07-18,2282
C00537,Web,2025-03-20,1909
C00867,App,2025-01-02,1800
C00065,Cajero Virtual,2024-09-28,735
C00194,Web,2024-07-18,2506
C00207,Cajero Virtual,2024-07-23,2773
C00299,Cajero Virtual,2024-09-13,2193
C00040,App,2024-12-31,517
C00464,Web,2024-10-09,3213
C00023,App,2025-04-06,2581
C00689,App,2024-12-18,2940
C00995,App,2025-06-17,1139
C00776,App,2025-02-20,3116
C00128,Web,2025-02-20,204
C00263,Web,2025-05-19,3545
C00789,App,2024-07-17,3381
C00035,Cajero Virtual,2025-04-26,1948
C00487,Web,2025-05-05,1346
C00101,App,2024-10-23,3477
C00737,Web,2024-11-04,361
C00741,App,2025-03-25,1150
C00611,App,2024-09-09,1144
C00082,Cajero Virtual,2025-03-31,214
C00317,App,2024-07-06,1849
C00979,App,2024-09-20,3383
C00330,Web,2024-10-13,642
C00196,Cajero Virtual,2025-01-30,606
C00414,Web,2025-01-25,3137
C00877,Cajero Virtual,2025-03-12,366
C00509,App,2025-01-06,1229
C00481,Cajero Virtual,2025-03-14,899
C00068,Web,2025-05-04,187
C00393,App,2024-10-20,2772
C00273,Cajero Virtual,2025-03-17,3065
C00299,Cajero Virtual,2025-06-20,2751
C00871,Web,2025-06-02,1285
C00856,Cajero Virtual,2024-12-29,2882
C00953,Web,2024-12-26,90
C00871,Web,2025-01-26,2805
C00141,App,2024-08-10,989
C00185,Web,2025-03-11,2962
C00666,Web,2025-03-22,2441
C00189,Cajero Virtual,2025-03-09,1174
C00574,Web,2024-08-08,2460
C00019,Web,2025-03-07,1468
C00081,Cajero Virtual,2025-06-15,3212
C00498,App,2024-08-12,293
C00542,App,2025-06-04,1490
C00639,App,2025-05-11,631
C00218,Cajero Virtual,2025-01-21,3319
C00525,App,2024-09-04,3170
C00689,Web,2024-10-28,170
C00338,App,2024-12-05,1334
C00121,Web,2024-09-04,1450
C00469,Web,2025-01-21,890
C00372,Cajero Virtual,2024-08-31,1091
C00482,Web,2025-01-19,2104
C00179,App,2024-07-02,3589
C00111,App,2024-11-16,2616
C00009,Cajero Virtual,2025-01-06,151
C00222,Web,2024-10-02,2366
C00797,Cajero Virtual,2025-04-18,3213
C00861,Web,2024-08-24,1339
C00622,App,2024-09-12,984
C00979,App,2024-09-24,1820
C00648,Web,2024-10-13,977
C00108,App,2024-12-14,2054
C00337,App,2025-04-17,189
C00204,Web,2025-02-13,2365
C00527,Web,2024-07-17,2779
C00453,Web,2025-02-04,1629
C00674,Web,2025-06-25,2572
C00948,Web,2025-03-28,1187
C00946,Web,2024-08-07,3440
C00195,Cajero Virtual,2025-05-30,2565
C00261,Web,2024-10-19,3138
C00866,Cajero Virtual,2024-11-02,715
C00009,Cajero Virtual,2024-11-21,1348
C00216,Web,2024-11-19,1217
C00773,App,2025-04-03,1389
C00923,Cajero Virtual,2025-04-13,3442
C00113,App,2024-12-28,3408
C00629,Web,2025-06-18,2626
C00340,Web,2024-11-11,667
C00047,Cajero Virtual,2025-01-07,588
C00830,Web,2025-01-18,773
C00813,Cajero Virtual,2024-09-15,3205
C00489,Cajero Virtual,2025-02-10,854
C00322,Web,2024-07-31,1165
C00791,Cajero Virtual,2025-03-19,2384
C00098,Cajero Virtual,2024-07-14,858
C00445,App,2025-01-26,499
C00093,Web,2024-11-07,649
C00811,App,2025-04-22,2224
C00252,Cajero Virtual,2025-02-09,800
C00163,Cajero Virtual,2025-06-13,851
C00158,Web,2025-06-10,1060
C00579,Cajero Virtual,2025-02-27,988
C00138,Cajero Virtual,2024-11-03,2191
C00384,Cajero Virtual,2025-04-26,649
C00312,Cajero Virtual,2024-07-28,528
