ID_Transaccion,Fecha,ID_Cuenta,ID_Tarjeta,ID_Sucursal,Monto,SaldoActual
TR000001,2025-04-23,CU00592,T000288,S001,1915,5842
TR000002,2024-08-23,CU00294,T000154,S004,621,6811
TR000003,2024-07-22,CU01367,T000423,S012,1638,9839
TR000004,2025-05-22,CU01020,T000850,S002,1159,1984
TR000005,2025-06-15,CU00310,T000050,S012,1110,5272
TR000006,2024-09-02,CU00662,T001231,S016,84,2284
TR000007,2024-08-16,CU00528,T000564,S002,1978,6417
TR000008,2025-05-18,CU00540,T000854,S017,227,7103
TR000009,2025-06-11,CU00419,T000883,S002,1284,8510
TR000010,2025-01-10,CU00444,T000662,S004,892,7530
TR000011,2024-08-26,CU00685,T000565,S006,1013,4450
TR000012,2025-02-12,CU00840,T000213,S007,20,9103
TR000013,2025-06-16,CU00236,T001090,S015,1059,8561
TR000014,2024-08-01,CU01463,T001256,S020,1889,6467
TR000015,2024-07-05,CU00214,T000811,S012,755,4799
TR000016,2025-03-04,CU00085,T000850,S005,1467,9478
TR000017,2024-12-20,CU00794,T001161,S014,941,1833
TR000018,2025-01-13,CU00085,T000881,S016,270,3067
TR000019,2024-12-05,CU00065,T001089,S011,1759,172
TR000020,2025-06-07,CU00663,T001156,S012,406,5093
TR000021,2025-04-17,CU00627,T000334,S019,1532,6217
TR000022,2024-11-09,CU00064,T000032,S017,304,7985
TR000023,2025-03-09,CU01367,T000868,S007,1694,5142
TR000024,2025-02-18,CU00939,T000898,S009,1309,8161
TR000025,2024-12-27,CU00919,T001267,S014,1572,730
TR000026,2025-02-05,CU01376,T001216,S020,1009,5703
TR000027,2024-07-20,CU01182,T001166,S012,810,977
TR000028,2025-02-10,CU00491,T000601,S015,1053,9048
TR000029,2024-08-24,CU01487,T000988,S012,391,4393
TR000030,2024-09-03,CU01249,T001215,S013,1440,9742
TR000031,2025-02-12,CU00313,T001173,S009,1933,2640
TR000032,2024-09-01,CU00615,T000599,S007,1791,181
TR000033,2025-04-23,CU00919,T000520,S001,909,1431
TR000034,2025-06-26,CU00813,T000869,S010,1974,8055
TR000035,2025-03-15,CU00940,T000016,S006,142,456
TR000036,2024-07-17,CU01490,T001130,S015,646,9611
TR000037,2025-04-22,CU01112,T000283,S015,1680,679
TR000038,2025-01-19,CU01327,T001128,S009,809,745
TR000039,2024-07-03,CU00680,T000361,S013,948,6363
TR000040,2025-04-18,CU00435,T001059,S001,1904,8599
TR000041,2025-03-05,CU00682,T000113,S009,1365,333
TR000042,2025-02-16,CU01159,T000308,S003,245,1134
TR000043,2024-12-06,CU01074,T000959,S009,766,6117
TR000044,2025-05-10,CU01456,T001077,S020,876,5221
TR000045,2025-04-17,CU00340,T001105,S015,912,1835
TR000046,2025-02-04,CU00347,T000834,S007,1029,4377
TR000047,2025-05-28,CU00646,T000242,S004,920,1041
TR000048,2024-11-01,CU01371,T000031,S020,939,449
TR000049,2024-07-06,CU00649,T000704,S017,449,1505
TR000050,2024-07-19,CU00245,T000869,S004,266,7564
TR000051,2025-03-19,CU00109,T000233,S019,1515,1645
TR000052,2025-03-09,CU00533,T001058,S005,1263,4420
TR000053,2024-08-14,CU01114,T001267,S016,250,1846
TR000054,2024-08-27,CU00296,T000951,S003,955,7996
TR000055,2025-03-08,CU00112,T000059,S011,1315,1454
TR000056,2025-02-27,CU01201,T000771,S015,543,7430
TR000057,2025-01-16,CU00343,T001102,S019,632,4388
TR000058,2024-08-15,CU00101,T000718,S014,1103,9460
TR000059,2024-11-16,CU00629,T000302,S016,907,4866
TR000060,2025-02-25,CU01425,T000803,S006,521,6057
TR000061,2025-03-05,CU00028,T000897,S005,1474,6935
TR000062,2024-09-25,CU00937,T000112,S017,1580,2685
TR000063,2024-09-08,CU00058,T000317,S016,884,4807
TR000064,2024-10-30,CU00297,T001169,S002,734,1000
TR000065,2025-01-21,CU00134,T000668,S011,144,3441
TR000066,2025-06-04,CU01355,T000690,S004,1144,7794
TR000067,2024-09-04,CU00249,T000018,S006,944,227
TR000068,2025-06-01,CU01021,T001179,S007,565,1775
TR000069,2024-07-07,CU00550,T000778,S017,1601,1877
TR000070,2025-01-06,CU00902,T000360,S008,1200,5265
TR000071,2024-08-12,CU01099,T000332,S001,70,8525
TR000072,2024-08-07,CU00834,T000528,S015,1838,683
TR000073,2024-12-01,CU01192,T000012,S020,633,1566
TR000074,2025-06-02,CU00771,T001099,S012,889,8794
TR000075,2024-07-15,CU01379,T000212,S015,1227,6850
TR000076,2025-01-06,CU01249,T000641,S015,801,1255
TR000077,2024-07-14,CU00146,T000283,S009,180,9791
TR000078,2024-06-29,CU01265,T001219,S016,593,8060
TR000079,2024-08-07,CU00893,T000780,S002,567,1035
TR000080,2024-07-11,CU00344,T001054,S015,691,455
TR000081,2025-02-25,CU01059,T001033,S015,1634,2094
TR000082,2024-10-06,CU00702,T000677,S007,1134,5256
TR000083,2024-08-12,CU00001,T000705,S013,1448,6381
TR000084,2025-04-07,CU00153,T000426,S017,665,9737
TR000085,2025-05-08,CU00429,T000591,S011,1983,7509
TR000086,2024-08-30,CU00508,T000091,S010,1527,5464
TR000087,2025-06-07,CU01150,T000456,S001,406,4074
TR000088,2024-10-15,CU00491,T000444,S014,986,2604
TR000089,2024-10-19,CU00345,T000079,S005,637,2246
TR000090,2024-08-11,CU00221,T000927,S008,1115,7769
TR000091,2025-01-05,CU00723,T000103,S001,1318,7404
TR000092,2025-01-23,CU01049,T000623,S007,1417,1310
TR000093,2025-06-22,CU00528,T000990,S002,1061,6279
TR000094,2025-04-10,CU01206,T001271,S007,517,8921
TR000095,2024-10-07,CU00841,T000234,S007,850,4982
TR000096,2025-03-17,CU01066,T000644,S009,1686,6924
TR000097,2024-09-19,CU00481,T001259,S004,1902,6298
TR000098,2024-07-19,CU00930,T000790,S007,908,9786
TR000099,2024-12-04,CU00872,T000387,S020,316,1207
TR000100,2024-08-20,CU01463,T000847,S018,1196,5086
TR000101,2025-04-30,CU01426,T000038,S013,1430,3534
TR000102,2025-05-29,CU00345,T001185,S011,1286,8123
TR000103,2024-10-18,CU00045,T001141,S009,1508,2915
TR000104,2025-05-11,CU00021,T000241,S014,27,7161
TR000105,2024-07-22,CU01094,T001050,S008,1519,2135
TR000106,2024-11-10,CU00873,T000562,S014,55,6907
TR000107,2024-09-22,CU00048,T000806,S017,1935,7073
TR000108,2025-06-02,CU00551,T000298,S014,1856,269
TR000109,2025-05-28,CU00287,T000805,S005,249,8923
TR000110,2024-08-12,CU01002,T000154,S010,273,9096
TR000111,2024-10-08,CU01034,T000732,S006,1283,5115
TR000112,2025-05-28,CU00542,T000468,S010,1802,6997
TR000113,2025-03-14,CU00756,T000049,S011,191,3134
TR000114,2024-09-21,CU00274,T000046,S006,575,4580
TR000115,2025-06-17,CU00956,T000780,S010,857,3512
TR000116,2025-02-27,CU00600,T000082,S014,1470,5088
TR000117,2024-07-22,CU00381,T001068,S020,1877,7230
TR000118,2025-04-30,CU01353,T000955,S003,1526,3969
TR000119,2025-02-14,CU00479,T000273,S007,616,6199
TR000120,2024-07-11,CU00015,T000394,S002,1417,891
TR000121,2024-08-18,CU00516,T000790,S007,1432,3941
TR000122,2024-10-19,CU00191,T000595,S017,1824,3456
TR000123,2024-07-08,CU01192,T000058,S013,1795,7622
TR000124,2024-07-23,CU00621,T000565,S009,1018,5025
TR000125,2024-07-05,CU01161,T000001,S013,673,5174
TR000126,2025-05-29,CU00154,T000216,S015,683,6800
TR000127,2025-02-08,CU01412,T001252,S013,109,2194
TR000128,2024-11-26,CU01233,T000766,S017,652,6350
TR000129,2025-03-05,CU00272,T000671,S008,1629,8907
TR000130,2024-09-27,CU00143,T000511,S009,981,5352
TR000131,2025-01-17,CU01093,T000915,S009,1127,7103
TR000132,2024-12-22,CU00247,T000095,S008,226,4396
TR000133,2025-02-10,CU01285,T000493,S016,353,2401
TR000134,2025-02-05,CU00788,T000765,S020,1184,5369
TR000135,2025-04-23,CU00079,T001022,S007,1428,9864
TR000136,2025-06-20,CU00623,T000150,S017,1731,604
TR000137,2025-02-12,CU00525,T001047,S007,1348,2045
TR000138,2025-05-25,CU00772,T000756,S006,145,1961
TR000139,2024-08-27,CU00938,T001239,S005,1778,3822
TR000140,2025-05-24,CU01354,T000399,S017,1489,3783
TR000141,2024-09-22,CU01213,T000410,S008,915,503
TR000142,2025-04-15,CU01119,T000131,S001,1156,4431
TR000143,2025-01-23,CU00617,T000855,S016,1117,9911
TR000144,2024-10-25,CU01032,T000148,S017,273,3006
TR000145,2024-09-05,CU00067,T000381,S003,1728,4828
TR000146,2024-10-16,CU00191,T001133,S013,534,7809
TR000147,2025-01-21,CU01390,T000552,S008,1218,1669
TR000148,2024-12-13,CU00768,T001145,S016,1194,239
TR000149,2024-10-31,CU00521,T000295,S007,460,4783
TR000150,2024-11-23,CU00990,T001144,S015,941,6830
TR000151,2025-03-23,CU01141,T000456,S002,1035,5162
TR000152,2025-05-14,CU00267,T000169,S002,181,4765
TR000153,2025-04-09,CU00485,T000710,S010,1256,2272
TR000154,2025-03-13,CU01322,T001167,S005,1980,6179
TR000155,2025-01-15,CU01188,T000037,S004,29,3520
TR000156,2025-01-02,CU00376,T001285,S015,532,6377
TR000157,2025-04-25,CU00653,T000231,S013,1029,1349
TR000158,2024-11-06,CU01292,T000254,S017,1945,6164
TR000159,2025-03-20,CU00549,T000329,S001,1570,2797
TR000160,2024-12-01,CU01098,T000980,S018,140,2853
TR000161,2025-04-15,CU00073,T000010,S015,1052,5034
TR000162,2025-02-22,CU00308,T000446,S014,98,6565
TR000163,2025-01-30,CU00199,T000922,S009,262,3984
TR000164,2024-08-05,CU01154,T000836,S012,1782,7354
TR000165,2025-05-21,CU00572,T001254,S005,19,194
TR000166,2025-01-29,CU00791,T000078,S002,12,4391
TR000167,2025-03-15,CU01175,T000193,S007,537,5880
TR000168,2025-04-01,CU01230,T000401,S009,1549,5183
TR000169,2024-08-16,CU00179,T000109,S018,1489,9967
TR000170,2025-01-09,CU00197,T000792,S004,1612,8304
TR000171,2024-09-27,CU00735,T000263,S002,259,2401
TR000172,2025-06-04,CU00089,T000329,S001,24,4183
TR000173,2025-01-13,CU00799,T000363,S012,1032,6219
TR000174,2025-05-26,CU01458,T000259,S013,1904,6324
TR000175,2024-12-08,CU00788,T000085,S014,228,472
TR000176,2025-05-14,CU00748,T000308,S005,376,4589
TR000177,2024-12-29,CU01207,T000262,S003,1147,5951
TR000178,2025-01-06,CU00209,T000797,S004,1114,6128
TR000179,2025-02-06,CU00493,T000631,S017,1837,8709
TR000180,2025-03-25,CU01154,T000680,S019,1480,916
TR000181,2025-05-09,CU00665,T000865,S011,224,3712
TR000182,2024-09-17,CU01037,T001275,S008,736,7847
TR000183,2024-09-08,CU00871,T000324,S012,257,6450
TR000184,2024-07-13,CU00732,T000925,S018,515,7539
TR000185,2024-09-15,CU01130,T001253,S018,833,1432
TR000186,2024-12-03,CU01399,T000727,S009,1807,6461
TR000187,2025-06-16,CU00698,T001261,S005,1842,855
TR000188,2025-02-27,CU01123,T000978,S017,1172,3625
